,name,sys.country,coord.lat,coord.lon,main.temp,main.humidity,wind.speed,clouds.all
0,Punta Arenas,CL,-53.16,-70.91,43.15,100,29.1,36
1,Mehamn,NO,71.03,27.85,30.52,92,8.05,90
2,Bambous Virieux,MU,-20.34,57.76,75.2,94,4.7,40
3,Nikolskoye,RU,59.7,30.79,26.6,86,2.24,75
4,Puerto Ayora,EC,-0.74,-90.35,84.2,66,10.29,20
